,Layer,Dataset,Seasonal-value,loss
0,RNN,dataset_n,D,0.08974005668251601
1,RNN,dataset_n_outliers,D,0.09099773476245226
2,RNN,dataset_n_outliers_l,D,0.09044672907502564
3,RNN,dataset_n_outliers_representative,D,0.19485453930166033
4,RNN,dataset_n_outliers_generated,D,0.09256909798002905
5,RNN,dataset_n_outliers_diff1,D,0.03821167770635198
6,RNN,dataset_n_outliers_diff2,D,0.04856376142965422
7,RNN,dataset_n_outliers_sqrt,D,0.13259652091397178
8,RNN,dataset_n_outliers_log,D,0.1840105176799827
9,RNN,dataset_n,7D,0.06477748216302306
10,RNN,dataset_n_outliers,7D,0.0647297959636759
11,RNN,dataset_n_outliers_l,7D,0.06331064538271339
12,RNN,dataset_n_outliers_representative,7D,0.19082177678743997
13,RNN,dataset_n_outliers_generated,7D,0.08598432410508394
14,RNN,dataset_n_outliers_diff1,7D,0.03813229459855292
15,RNN,dataset_n_outliers_diff2,7D,0.05167120791695736
16,RNN,dataset_n_outliers_sqrt,7D,0.047413588398032724
17,RNN,dataset_n_outliers_log,7D,0.12919065190686121
18,RNN,dataset_n,15D,0.06746314038281087
19,RNN,dataset_n_outliers,15D,0.06444373602668445
20,RNN,dataset_n_outliers_l,15D,0.06417825348951199
21,RNN,dataset_n_outliers_representative,15D,0.19188116987546286
22,RNN,dataset_n_outliers_generated,15D,0.0869659853892194
23,RNN,dataset_n_outliers_diff1,15D,0.03763462271955278
24,RNN,dataset_n_outliers_diff2,15D,0.05089049800126641
25,RNN,dataset_n_outliers_sqrt,15D,0.04750474721745209
26,RNN,dataset_n_outliers_log,15D,0.13139204101430044
27,RNN,dataset_n,D-X,0.04323613243522467
28,RNN,dataset_n_outliers,D-X,0.09044136493294326
29,RNN,dataset_n_outliers_l,D-X,0.09173814635033961
30,RNN,dataset_n_outliers_representative,D-X,0.1926000863313675
31,RNN,dataset_n_outliers_generated,D-X,0.09239629676772489
32,RNN,dataset_n_outliers_diff1,D-X,0.03778965053734956
33,RNN,dataset_n_outliers_diff2,D-X,0.04685640293690894
34,RNN,dataset_n_outliers_sqrt,D-X,0.09910296255515683
35,RNN,dataset_n_outliers_log,D-X,0.09672557065884273
36,RNN,dataset_n,7D-X,0.05821839306089613
37,RNN,dataset_n_outliers,7D-X,0.06193140687214004
38,RNN,dataset_n_outliers_l,7D-X,0.058958246338146704
39,RNN,dataset_n_outliers_representative,7D-X,0.19517287777529824
40,RNN,dataset_n_outliers_generated,7D-X,0.08460955559793447
41,RNN,dataset_n_outliers_diff1,7D-X,0.03791941019395987
42,RNN,dataset_n_outliers_diff2,7D-X,0.0512188755803638
43,RNN,dataset_n_outliers_sqrt,7D-X,0.046582064418881027
44,RNN,dataset_n_outliers_log,7D-X,0.12823517620563504
45,RNN,dataset_n,15D-X,0.06079466516772906
46,RNN,dataset_n_outliers,15D-X,0.06422817651872283
47,RNN,dataset_n_outliers_l,15D-X,0.06280721986183414
48,RNN,dataset_n_outliers_representative,15D-X,0.19401305251651338
49,RNN,dataset_n_outliers_generated,15D-X,0.08648346023013194
50,RNN,dataset_n_outliers_diff1,15D-X,0.037246369653277926
51,RNN,dataset_n_outliers_diff2,15D-X,0.050568520746849206
52,RNN,dataset_n_outliers_sqrt,15D-X,0.04494255091305133
53,RNN,dataset_n_outliers_log,15D-X,0.1345895172821151
54,LSTM,dataset_n,D,0.1959263174622147
55,LSTM,dataset_n_outliers,D,0.19262532006811214
56,LSTM,dataset_n_outliers_l,D,0.19178155947614597
57,LSTM,dataset_n_outliers_representative,D,0.2687133600314458
58,LSTM,dataset_n_outliers_generated,D,0.19344567445417246
59,LSTM,dataset_n_outliers_diff1,D,0.03827278771334224
60,LSTM,dataset_n_outliers_diff2,D,0.05031629900137583
61,LSTM,dataset_n_outliers_sqrt,D,0.13113979746898016
62,LSTM,dataset_n_outliers_log,D,0.3782217005888621
63,LSTM,dataset_n,7D,0.1907510906457901
64,LSTM,dataset_n_outliers,7D,0.19397022933871658
65,LSTM,dataset_n_outliers_l,7D,0.1905192407193007
66,LSTM,dataset_n_outliers_representative,7D,0.19415957232316336
67,LSTM,dataset_n_outliers_generated,7D,0.19285215789245236
68,LSTM,dataset_n_outliers_diff1,7D,0.03833033792950489
69,LSTM,dataset_n_outliers_diff2,7D,0.04982577505762931
70,LSTM,dataset_n_outliers_sqrt,7D,0.13268180826195963
71,LSTM,dataset_n_outliers_log,7D,0.3669093030470389
