,Layer,Dataset,Seasonal-value,loss,train_loss
0,RNN,dataset_n,D,0.03716778308153153,0.038208260852843526
1,RNN,dataset_n_outliers,D,0.03900780417025089,0.03773270701058209
2,RNN,dataset_n_outliers_l,D,0.038973883539438245,0.03792683938518167
3,RNN,dataset_n_outliers_representative,D,0.198006671667099,0.18815987614484933
4,RNN,dataset_n_outliers_generated,D,0.056547969579696655,0.09219253730514775
5,RNN,dataset_n_outliers_diff1,D,0.037838175892829895,0.03842031708918512
6,RNN,dataset_n_outliers_diff2,D,0.050994256138801576,0.045738575793802735
7,RNN,dataset_n_outliers_sqrt,D,0.029174513928592206,0.025933631882071494
8,RNN,dataset_n_outliers_log,D,0.08470602072775364,0.08294882569462061
9,RNN,dataset_n,7D,0.06339800506830215,0.064699786901474
10,RNN,dataset_n_outliers,7D,0.059818440675735475,0.06073087016120553
11,RNN,dataset_n_outliers_l,7D,0.062305419519543645,0.06228217957541347
12,RNN,dataset_n_outliers_representative,7D,0.19426080584526062,0.17999325635341498
13,RNN,dataset_n_outliers_generated,7D,0.06676754802465439,0.08714935964216357
14,RNN,dataset_n_outliers_diff1,7D,0.04088389649987221,0.03713478669524193
15,RNN,dataset_n_outliers_diff2,7D,0.054613526165485385,0.049104163469746706
16,RNN,dataset_n_outliers_sqrt,7D,0.045847773924469946,0.04489000150933862
17,RNN,dataset_n_outliers_log,7D,0.12006045877933502,0.11793884672224522
18,RNN,dataset_n,15D,0.05974033921957016,0.06080076509179213
19,RNN,dataset_n_outliers,15D,0.06932914517819881,0.06482124882630813
20,RNN,dataset_n_outliers_l,15D,0.06267704628407955,0.06504081141872284
21,RNN,dataset_n_outliers_representative,15D,0.18784815818071365,0.18423398985312536
22,RNN,dataset_n_outliers_generated,15D,0.06397997997701169,0.08473581049525947
23,RNN,dataset_n_outliers_diff1,15D,0.03936952780932188,0.03764377118876347
24,RNN,dataset_n_outliers_diff2,15D,0.05015378221869469,0.05069654463575436
25,RNN,dataset_n_outliers_sqrt,15D,0.04417464695870876,0.04111886712220999
26,RNN,dataset_n_outliers_log,15D,0.1322102054953575,0.12266421642823097
27,RNN,dataset_n,D-X,0.04041202813386917,0.037154902471229434
28,RNN,dataset_n_outliers,D-X,0.03864150270819664,0.03786454685032368
29,RNN,dataset_n_outliers_l,D-X,0.03938068822026253,0.037787238135933876
30,RNN,dataset_n_outliers_representative,D-X,0.19700635224580765,0.19044728921009943
31,RNN,dataset_n_outliers_generated,D-X,0.05335866548120975,0.09232518264780874
32,RNN,dataset_n_outliers_diff1,D-X,0.03835949916392565,0.038052838295698166
33,RNN,dataset_n_outliers_diff2,D-X,0.048388789594173434,0.04597530295141041
