,Algorithm,Dataset,MAE,MSE,Score,MAE-train,MSE-train,Score-train,Seasonal-value
0,Random-Forest,dataset_n,0.04098336542438619,0.0029426612849767506,0.021963013354681468,0.03417842187057583,0.0020658246935983627,0.018122123282087094,1
1,Random-Forest,dataset_n_outliers,0.04098336542438619,0.0029426612849767506,0.021963013354681468,0.03417842187057583,0.0020658246935983627,0.018122123282087094,1
2,Random-Forest,dataset_n_outliers_l,0.04098336542438619,0.0029426612849767506,0.021963013354681468,0.03417842187057583,0.0020658246935983627,0.018122123282087094,1
3,Random-Forest,dataset_n_outliers_representative,0.21485591102523824,0.0642008323980527,0.13952837171164548,0.16848693598709086,0.03975557371614833,0.10412125485161959,1
4,Random-Forest,dataset_n_outliers_generated,0.05504017995986244,0.0053448840933612,0.03019253202661182,0.08298752669980393,0.01277296035628001,0.04788024352804197,1
5,Random-Forest,dataset_n_outliers_diff1,0.038445488464782594,0.002643683356105638,0.020544585910444117,0.03496913716071746,0.0021699023941041742,0.018569519777410816,1
6,Random-Forest,dataset_n_outliers_diff2,0.049310253256749925,0.004229875081242396,0.02677006416899616,0.04293361603770064,0.0031882944263401857,0.023060955232020414,1
7,Random-Forest,dataset_n_outliers_sqrt,0.02891297822910876,0.0016077966008315205,0.01526038741497014,0.024045425896351,0.001117052438740056,0.012581239167545527,1
8,Random-Forest,dataset_n_outliers_log,0.09112829266285309,0.026484636131447293,0.05880646439715019,0.07553995364534041,0.019000157739333508,0.04727005569233696,1
9,Random-Forest,dataset_n,0.040311246077890384,0.0027063650138436576,0.02150880554586702,0.014981316453199792,0.00037823893380254314,0.0076797776935011676,7
10,Random-Forest,dataset_n_outliers,0.040311246077890384,0.0027063650138436576,0.02150880554586702,0.014981316453199792,0.00037823893380254314,0.0076797776935011676,7
11,Random-Forest,dataset_n_outliers_l,0.040311246077890384,0.0027063650138436576,0.02150880554586702,0.014981316453199792,0.00037823893380254314,0.0076797776935011676,7
12,Random-Forest,dataset_n_outliers_representative,0.20361261527051536,0.05673460762075421,0.13017361144563477,0.0730915589670113,0.007545610437794956,0.04031858470240313,7
13,Random-Forest,dataset_n_outliers_generated,0.026003101251402753,0.0012548252591358484,0.013628963255269301,0.03255651443793383,0.0018914086837324966,0.017223961560833164,7
14,Random-Forest,dataset_n_outliers_diff1,0.03836710994448485,0.0026355241548660273,0.02050131704967544,0.01723040226314823,0.0004975870554216461,0.00886399465928494,7
15,Random-Forest,dataset_n_outliers_diff2,0.04345728463823412,0.003273507131932904,0.02336539588508351,0.016715179061548523,0.0004785726592375368,0.00859687586039303,7
16,Random-Forest,dataset_n_outliers_sqrt,0.028214661551509375,0.0013964108669974168,0.014805536209253395,0.010448549759795447,0.00019519223323607687,0.005321870996515762,7
17,Random-Forest,dataset_n_outliers_log,0.08424648829452168,0.015369309775716147,0.04980789903511891,0.03113379602826465,0.002117750097607446,0.01662577306293605,7
