,Algorithm,Dataset,MAE,MSE,Score,MAE-train,MSE-train,Score-train,Seasonal-value
0,Random-Forest-X,dataset_n,0.03362618684819855,0.001950407323346529,0.01778829708577254,0.012820578069632885,0.0002889778762264272,0.0065547779729296565,1
1,Random-Forest-X,dataset_n_outliers,0.03362618684819855,0.001950407323346529,0.01778829708577254,0.012820578069632885,0.0002889778762264272,0.0065547779729296565,1
2,Random-Forest-X,dataset_n_outliers_l,0.031922024520873546,0.001790124917688006,0.016856074719280776,0.0120551011829574,0.0002574489051976235,0.006156275044077512,1
3,Random-Forest-X,dataset_n_outliers_representative,0.06622497921299075,0.0074012605958313155,0.03681311990441104,0.025561370163206015,0.0011116323968226433,0.013336501280014328,1
4,Random-Forest-X,dataset_n_outliers_generated,0.019077474817868985,0.0007012870039566916,0.009889380910912838,0.025542683958136102,0.0012492142912868761,0.013395949124711488,1
5,Random-Forest-X,dataset_n_outliers_diff1,0.030768550333332128,0.0017318844469929886,0.01625021739016256,0.01254696641555724,0.0002806683573498284,0.006413817386453534,1
6,Random-Forest-X,dataset_n_outliers_diff2,0.04341808782476536,0.0032570177574946122,0.023337552791129985,0.016729469043751673,0.0004886856019658131,0.008609077322858743,1
7,Random-Forest-X,dataset_n_outliers_sqrt,0.02445096546440272,0.001268165093949762,0.012859565279176241,0.009246030595594071,0.00018809567594737847,0.004717063135770725,1
8,Random-Forest-X,dataset_n_outliers_log,0.07921238486081732,0.022301240280346774,0.050756812570582045,0.029918507535736622,0.0032007783601772353,0.016559642947956928,1
9,Random-Forest-X,dataset_n,0.03584803802658722,0.0021521322587113637,0.01900008514264929,0.013297765012090701,0.00029930149563217124,0.006798533253861436,7
10,Random-Forest-X,dataset_n_outliers,0.03584803802658722,0.0021521322587113637,0.01900008514264929,0.013297765012090701,0.00029930149563217124,0.006798533253861436,7
11,Random-Forest-X,dataset_n_outliers_l,0.035724989754014655,0.0021179246977697202,0.018921457225892186,0.01330870596728011,0.00029738377253914867,0.00680304486990963,7
12,Random-Forest-X,dataset_n_outliers_representative,0.08253540265366711,0.010434215446124022,0.04648480904989557,0.03473964263056941,0.0018733655189178376,0.018306504074743622,7
13,Random-Forest-X,dataset_n_outliers_generated,0.01975704844277735,0.0009604872465497159,0.010358767844663531,0.024154527458624526,0.0011327425530962825,0.012643635005860404,7
14,Random-Forest-X,dataset_n_outliers_diff1,0.03409782848451235,0.0020911654011693693,0.01809449694284086,0.014223682497238077,0.000344088205182917,0.007283885351210497,7
15,Random-Forest-X,dataset_n_outliers_diff2,0.040056185110900436,0.0028164088426634246,0.02143629697678193,0.015633352718301054,0.00041734592753100996,0.008025349322916032,7
16,Random-Forest-X,dataset_n_outliers_sqrt,0.025529117958090743,0.0011851801740357707,0.013357149066063256,0.009473856858346192,0.0001653359505464961,0.004819596404446344,7
17,Random-Forest-X,dataset_n_outliers_log,0.07597915374682114,0.013367891449270666,0.044673522598045905,0.028463710678910736,0.0019093503115142445,0.015186530495212491,7
